content,cleaning,case_folding,tokenization,normalization,stopword_removed,stemming,polarity_score,polarity,final,new_polarity
" @indo3333 @sugito43334255 @rmol_id Pasca vaksin astrazeneca , ada efek sampingnya ga pak? Saya masih ragu klo vaksin pake sinovac, tp ya ga bisa pilih2 ya", Pasca vaksin astrazeneca ada efek sampingnya ga pak Saya masih ragu klo vaksin pake sinovac tp ya ga bisa pilih ya, pasca vaksin astrazeneca ada efek sampingnya ga pak saya masih ragu klo vaksin pake sinovac tp ya ga bisa pilih ya,"['pasca', 'vaksin', 'astrazeneca', 'ada', 'efek', 'sampingnya', 'ga', 'pak', 'saya', 'masih', 'ragu', 'klo', 'vaksin', 'pake', 'sinovac', 'tp', 'ya', 'ga', 'bisa', 'pilih', 'ya']","['pasca', 'vaksin', 'astrazeneca', 'ada', 'efek', 'sampingnya', 'tidak', 'pak', 'saya', 'masih', 'ragu', 'kalau', 'vaksin', 'pakai', 'sinovac', 'tetapi', 'ya', 'tidak', 'bisa', 'pilih', 'ya']","['pasca', 'vaksin', 'astrazeneca', 'efek', 'sampingnya', 'ragu', 'vaksin', 'pakai', 'sinovac', 'pilih']","['pasca', 'vaksin', 'astrazeneca', 'efek', 'samping', 'ragu', 'vaksin', 'pakai', 'sinovac', 'pilih']",-9,negative,pasca vaksin astrazeneca efek samping ragu vaksin pakai sinovac pilih,1
"@menfesssyg aku vaksin astrazeneca. efeknya abis vaksin ngantuk, malemnya meriang, trs besoknya flu sampe hari ke3 setelah vaksin", aku vaksin astrazeneca efeknya abis vaksin ngantuk malemnya meriang trs besoknya flu sampe hari ke setelah vaksin, aku vaksin astrazeneca efeknya abis vaksin ngantuk malemnya meriang trs besoknya flu sampe hari ke setelah vaksin,"['aku', 'vaksin', 'astrazeneca', 'efeknya', 'abis', 'vaksin', 'ngantuk', 'malemnya', 'meriang', 'trs', 'besoknya', 'flu', 'sampe', 'hari', 'ke', 'setelah', 'vaksin']","['aku', 'vaksin', 'astrazeneca', 'efeknya', 'habis', 'vaksin', 'mengantuk', 'malemnya', 'meriang', 'terus', 'besoknya', 'flu', 'sampai', 'hari', 'ke', 'setelah', 'vaksin']","['vaksin', 'astrazeneca', 'efeknya', 'habis', 'vaksin', 'mengantuk', 'malemnya', 'meriang', 'besoknya', 'flu', 'vaksin']","['vaksin', 'astrazeneca', 'efek', 'habis', 'vaksin', 'antuk', 'malemnya', 'meriang', 'besok', 'flu', 'vaksin']",-11,negative,vaksin astrazeneca efek habis vaksin antuk malemnya meriang besok flu vaksin,1
"7. 1000 triliun? Yakin uangnya segitu? Terus uang itu emg buat vaksin doang apa? Kan ada obat2an, peralatan nakes dsb. Terus anggaran hanya sinovac aja, lah AstraZeneca apa atuh? Terus nanti ada moderna walaupun buat nakes aja", triliun Yakin uangnya segitu Terus uang itu emg buat vaksin doang apa Kan ada obat an peralatan nakes dsb Terus anggaran hanya sinovac aja lah AstraZeneca apa atuh Terus nanti ada moderna walaupun buat nakes aja, triliun yakin uangnya segitu terus uang itu emg buat vaksin doang apa kan ada obat an peralatan nakes dsb terus anggaran hanya sinovac aja lah astrazeneca apa atuh terus nanti ada moderna walaupun buat nakes aja,"['triliun', 'yakin', 'uangnya', 'segitu', 'terus', 'uang', 'itu', 'emg', 'buat', 'vaksin', 'doang', 'apa', 'kan', 'ada', 'obat', 'an', 'peralatan', 'nakes', 'dsb', 'terus', 'anggaran', 'hanya', 'sinovac', 'aja', 'lah', 'astrazeneca', 'apa', 'atuh', 'terus', 'nanti', 'ada', 'moderna', 'walaupun', 'buat', 'nakes', 'aja']","['triliun', 'yakin', 'uangnya', 'sebegitu', 'terus', 'uang', 'itu', 'memang', 'buat', 'vaksin', 'doang', 'apa', 'kan', 'ada', 'obat', 'an', 'peralatan', 'tenaga kesehatan', 'dan sebagainya', 'terus', 'anggaran', 'hanya', 'sinovac', 'saja', 'lah', 'astrazeneca', 'apa', 'atuh', 'terus', 'nanti', 'ada', 'moderna', 'walaupun', 'buat', 'tenaga kesehatan', 'saja']","['triliun', 'uangnya', 'uang', 'vaksin', 'doang', 'obat', 'an', 'peralatan', 'tenaga kesehatan', 'dan sebagainya', 'anggaran', 'sinovac', 'astrazeneca', 'atuh', 'moderna', 'tenaga kesehatan']","['triliun', 'uang', 'uang', 'vaksin', 'doang', 'obat', 'an', 'alat', 'tenaga sehat', 'dan bagai', 'anggar', 'sinovac', 'astrazeneca', 'atuh', 'moderna', 'tenaga sehat']",-1,negative,triliun uang uang vaksin doang obat an alat tenaga sehat dan bagai anggar sinovac astrazeneca atuh moderna tenaga sehat,1
"aku belum vaksin tp yg vaksin keluarga 
astrazeneca 
tergantung tubuh, ada yg demam sampai menggigil sakit kaki pegal linu dan batuk 

sinovac 
pas habis suntik jd laper dan ngantuk, buat yang ada penyakit maag bakalan kambuh terus maagnya.",aku belum vaksin tp yg vaksin keluarga astrazeneca tergantung tubuh ada yg demam sampai menggigil sakit kaki pegal linu dan batuk sinovac pas habis suntik jd laper dan ngantuk buat yang ada penyakit maag bakalan kambuh terus maagnya ,aku belum vaksin tp yg vaksin keluarga astrazeneca tergantung tubuh ada yg demam sampai menggigil sakit kaki pegal linu dan batuk sinovac pas habis suntik jd laper dan ngantuk buat yang ada penyakit maag bakalan kambuh terus maagnya ,"['aku', 'belum', 'vaksin', 'tp', 'yg', 'vaksin', 'keluarga', 'astrazeneca', 'tergantung', 'tubuh', 'ada', 'yg', 'demam', 'sampai', 'menggigil', 'sakit', 'kaki', 'pegal', 'linu', 'dan', 'batuk', 'sinovac', 'pas', 'habis', 'suntik', 'jd', 'laper', 'dan', 'ngantuk', 'buat', 'yang', 'ada', 'penyakit', 'maag', 'bakalan', 'kambuh', 'terus', 'maagnya']","['aku', 'belum', 'vaksin', 'tetapi', 'yang', 'vaksin', 'keluarga', 'astrazeneca', 'tergantung', 'tubuh', 'ada', 'yang', 'demam', 'sampai', 'menggigil', 'sakit', 'kaki', 'pegal', 'linu', 'dan', 'batuk', 'sinovac', 'pas', 'habis', 'suntik', 'jadi', 'lapar', 'dan', 'mengantuk', 'buat', 'yang', 'ada', 'penyakit', 'maag', 'akan', 'kambuh', 'terus', 'maagnya']","['vaksin', 'vaksin', 'keluarga', 'astrazeneca', 'tergantung', 'tubuh', 'demam', 'menggigil', 'sakit', 'kaki', 'pegal', 'linu', 'batuk', 'sinovac', 'pas', 'habis', 'suntik', 'lapar', 'mengantuk', 'penyakit', 'maag', 'kambuh', 'maagnya']","['vaksin', 'vaksin', 'keluarga', 'astrazeneca', 'gantung', 'tubuh', 'demam', 'gigil', 'sakit', 'kaki', 'pegal', 'linu', 'batuk', 'sinovac', 'pas', 'habis', 'suntik', 'lapar', 'antuk', 'sakit', 'maag', 'kambuh', 'maagnya']",-31,negative,vaksin vaksin keluarga astrazeneca gantung tubuh demam gigil sakit kaki pegal linu batuk sinovac pas habis suntik lapar antuk sakit maag kambuh maagnya,1
"Oh ini banyak sekali mba, temen-temen saya masih cari vaksin AstraZeneca. Padahal lagi kemaren banyak ditawarin vaksin ga mau. Dasr manusia!",Oh ini banyak sekali mba temen temen saya masih cari vaksin AstraZeneca Padahal lagi kemaren banyak ditawarin vaksin ga mau Dasr manusia ,oh ini banyak sekali mba temen temen saya masih cari vaksin astrazeneca padahal lagi kemaren banyak ditawarin vaksin ga mau dasr manusia ,"['oh', 'ini', 'banyak', 'sekali', 'mba', 'temen', 'temen', 'saya', 'masih', 'cari', 'vaksin', 'astrazeneca', 'padahal', 'lagi', 'kemaren', 'banyak', 'ditawarin', 'vaksin', 'ga', 'mau', 'dasr', 'manusia']","['oh', 'ini', 'banyak', 'sekali', 'mbak', 'teman', 'teman', 'saya', 'masih', 'cari', 'vaksin', 'astrazeneca', 'padahal', 'lagi', 'kemarin', 'banyak', 'ditawari', 'vaksin', 'tidak', 'mau', 'dasar', 'manusia']","['oh', 'mbak', 'teman', 'teman', 'cari', 'vaksin', 'astrazeneca', 'kemarin', 'ditawari', 'vaksin', 'dasar', 'manusia']","['oh', 'mbak', 'teman', 'teman', 'cari', 'vaksin', 'astrazeneca', 'kemarin', 'tawar', 'vaksin', 'dasar', 'manusia']",-4,negative,oh mbak teman teman cari vaksin astrazeneca kemarin tawar vaksin dasar manusia,1
"Anti bantuan asing?
Bukannya dari kemarin bantuan asing masuk terus gus? Vaksin astrazeneca pun masuk kemar karena hibah bantuan asing.
Sjw riang, pemerintah menyambut, warga tervaksin..
Yg anti paling kaum anti vaksin yg sedikit jumlahnya.",Anti bantuan asing Bukannya dari kemarin bantuan asing masuk terus gus Vaksin astrazeneca pun masuk kemar karena hibah bantuan asing Sjw riang pemerintah menyambut warga tervaksin Yg anti paling kaum anti vaksin yg sedikit jumlahnya ,anti bantuan asing bukannya dari kemarin bantuan asing masuk terus gus vaksin astrazeneca pun masuk kemar karena hibah bantuan asing sjw riang pemerintah menyambut warga tervaksin yg anti paling kaum anti vaksin yg sedikit jumlahnya ,"['anti', 'bantuan', 'asing', 'bukannya', 'dari', 'kemarin', 'bantuan', 'asing', 'masuk', 'terus', 'gus', 'vaksin', 'astrazeneca', 'pun', 'masuk', 'kemar', 'karena', 'hibah', 'bantuan', 'asing', 'sjw', 'riang', 'pemerintah', 'menyambut', 'warga', 'tervaksin', 'yg', 'anti', 'paling', 'kaum', 'anti', 'vaksin', 'yg', 'sedikit', 'jumlahnya']","['anti', 'bantuan', 'asing', 'bukannya', 'dari', 'kemarin', 'bantuan', 'asing', 'masuk', 'terus', 'gus', 'vaksin', 'astrazeneca', 'pun', 'masuk', 'kemar', 'karena', 'hibah', 'bantuan', 'asing', 'sjw', 'riang', 'pemerintah', 'menyambut', 'warga', 'tervaksin', 'yang', 'anti', 'paling', 'kaum', 'anti', 'vaksin', 'yang', 'sedikit', 'jumlahnya']","['anti', 'bantuan', 'asing', 'kemarin', 'bantuan', 'asing', 'masuk', 'gus', 'vaksin', 'astrazeneca', 'masuk', 'kemar', 'hibah', 'bantuan', 'asing', 'sjw', 'riang', 'pemerintah', 'menyambut', 'warga', 'tervaksin', 'anti', 'kaum', 'anti', 'vaksin']","['anti', 'bantu', 'asing', 'kemarin', 'bantu', 'asing', 'masuk', 'gus', 'vaksin', 'astrazeneca', 'masuk', 'mar', 'hibah', 'bantu', 'asing', 'sjw', 'riang', 'perintah', 'sambut', 'warga', 'vaksin', 'anti', 'kaum', 'anti', 'vaksin']",-5,negative,anti bantu asing kemarin bantu asing masuk gus vaksin astrazeneca masuk mar hibah bantu asing sjw riang perintah sambut warga vaksin anti kaum anti vaksin,1
Aku punya asam lambung tp setelah vaksin astrazeneca gapapa kok. Alhamdulillah,Aku punya asam lambung tp setelah vaksin astrazeneca gapapa kok Alhamdulillah,aku punya asam lambung tp setelah vaksin astrazeneca gapapa kok alhamdulillah,"['aku', 'punya', 'asam', 'lambung', 'tp', 'setelah', 'vaksin', 'astrazeneca', 'gapapa', 'kok', 'alhamdulillah']","['aku', 'punya', 'asam', 'lambung', 'tetapi', 'setelah', 'vaksin', 'astrazeneca', 'tidak apa apa', 'kok', 'alhamdulillah']","['asam', 'lambung', 'vaksin', 'astrazeneca', 'tidak apa apa', 'alhamdulillah']","['asam', 'lambung', 'vaksin', 'astrazeneca', 'tidak apa apa', 'alhamdulillah']",5,positive,asam lambung vaksin astrazeneca tidak apa apa alhamdulillah,0
itu orang siapa nama nya sih. Makan nya pakai apa.. bagaimana kalau pakai vaksin Astrazeneca buatan Inggris.. Apa cina juga yg mengendalikan,itu orang siapa nama nya sih Makan nya pakai apa bagaimana kalau pakai vaksin Astrazeneca buatan Inggris Apa cina juga yg mengendalikan,itu orang siapa nama nya sih makan nya pakai apa bagaimana kalau pakai vaksin astrazeneca buatan inggris apa cina juga yg mengendalikan,"['itu', 'orang', 'siapa', 'nama', 'nya', 'sih', 'makan', 'nya', 'pakai', 'apa', 'bagaimana', 'kalau', 'pakai', 'vaksin', 'astrazeneca', 'buatan', 'inggris', 'apa', 'cina', 'juga', 'yg', 'mengendalikan']","['itu', 'orang', 'siapa', 'nama', 'nya', 'sih', 'makan', 'nya', 'pakai', 'apa', 'bagaimana', 'kalau', 'pakai', 'vaksin', 'astrazeneca', 'buatan', 'inggris', 'apa', 'china', 'juga', 'yang', 'mengendalikan']","['orang', 'nama', 'makan', 'pakai', 'pakai', 'vaksin', 'astrazeneca', 'buatan', 'inggris', 'china', 'mengendalikan']","['orang', 'nama', 'makan', 'pakai', 'pakai', 'vaksin', 'astrazeneca', 'buat', 'inggris', 'china', 'kendali']",1,positive,orang nama makan pakai pakai vaksin astrazeneca buat inggris china kendali,0
"Vaksin pertama yang saya terima Sinovac.
Jeda 31 hari. Setelah itu vaksin dosis kedua yang saya terima adalah Astrazeneca. Beda banget efek samping yg diterima dari kedua vaksin tsb. AZ efeknya lebih keras dan berat",Vaksin pertama yang saya terima Sinovac Jeda hari Setelah itu vaksin dosis kedua yang saya terima adalah Astrazeneca Beda banget efek samping yg diterima dari kedua vaksin tsb AZ efeknya lebih keras dan berat,vaksin pertama yang saya terima sinovac jeda hari setelah itu vaksin dosis kedua yang saya terima adalah astrazeneca beda banget efek samping yg diterima dari kedua vaksin tsb az efeknya lebih keras dan berat,"['vaksin', 'pertama', 'yang', 'saya', 'terima', 'sinovac', 'jeda', 'hari', 'setelah', 'itu', 'vaksin', 'dosis', 'kedua', 'yang', 'saya', 'terima', 'adalah', 'astrazeneca', 'beda', 'banget', 'efek', 'samping', 'yg', 'diterima', 'dari', 'kedua', 'vaksin', 'tsb', 'az', 'efeknya', 'lebih', 'keras', 'dan', 'berat']","['vaksin', 'pertama', 'yang', 'saya', 'terima', 'sinovac', 'jeda', 'hari', 'setelah', 'itu', 'vaksin', 'dosis', 'kedua', 'yang', 'saya', 'terima', 'adalah', 'astrazeneca', 'beda', 'banget', 'efek', 'samping', 'yang', 'diterima', 'dari', 'kedua', 'vaksin', 'tersebut', 'astrazeneca', 'efeknya', 'lebih', 'keras', 'dan', 'berat']","['vaksin', 'terima', 'sinovac', 'jeda', 'vaksin', 'dosis', 'terima', 'astrazeneca', 'beda', 'banget', 'efek', 'samping', 'diterima', 'vaksin', 'astrazeneca', 'efeknya', 'keras', 'berat']","['vaksin', 'terima', 'sinovac', 'jeda', 'vaksin', 'dosis', 'terima', 'astrazeneca', 'beda', 'banget', 'efek', 'samping', 'terima', 'vaksin', 'astrazeneca', 'efek', 'keras', 'berat']",1,positive,vaksin terima sinovac jeda vaksin dosis terima astrazeneca beda banget efek samping terima vaksin astrazeneca efek keras berat,0
"Gimana vaksin dosis kedua nya mau naik, gw udah jadwal vaksin astrazeneca hari ini tp vaksin nya kosong dan ga tau kapan dateng lagi",Gimana vaksin dosis kedua nya mau naik gw udah jadwal vaksin astrazeneca hari ini tp vaksin nya kosong dan ga tau kapan dateng lagi,gimana vaksin dosis kedua nya mau naik gw udah jadwal vaksin astrazeneca hari ini tp vaksin nya kosong dan ga tau kapan dateng lagi,"['gimana', 'vaksin', 'dosis', 'kedua', 'nya', 'mau', 'naik', 'gw', 'udah', 'jadwal', 'vaksin', 'astrazeneca', 'hari', 'ini', 'tp', 'vaksin', 'nya', 'kosong', 'dan', 'ga', 'tau', 'kapan', 'dateng', 'lagi']","['bagaimana', 'vaksin', 'dosis', 'kedua', 'nya', 'mau', 'naik', 'gue', 'sudah', 'jadwal', 'vaksin', 'astrazeneca', 'hari', 'ini', 'tetapi', 'vaksin', 'nya', 'kosong', 'dan', 'tidak', 'tau', 'kapan', 'datang', 'lagi']","['vaksin', 'dosis', 'gue', 'jadwal', 'vaksin', 'astrazeneca', 'vaksin', 'kosong']","['vaksin', 'dosis', 'gue', 'jadwal', 'vaksin', 'astrazeneca', 'vaksin', 'kosong']",-4,negative,vaksin dosis gue jadwal vaksin astrazeneca vaksin kosong,1
Pemerintah gratisin yang sinovac dan astrazeneca...menurut ku sudah bagus kok...uang negara ga cukup buat beli semua vaksin..yg di jual itu di antara nya Sinopharm sama moderna setahu ku itu emang vaksin mahal dengan tingkat yg lbh tinggi...gak mau bayar,Pemerintah gratisin yang sinovac dan astrazeneca menurut ku sudah bagus kok uang negara ga cukup buat beli semua vaksin yg di jual itu di antara nya Sinopharm sama moderna setahu ku itu emang vaksin mahal dengan tingkat yg lbh tinggi gak mau bayar,pemerintah gratisin yang sinovac dan astrazeneca menurut ku sudah bagus kok uang negara ga cukup buat beli semua vaksin yg di jual itu di antara nya sinopharm sama moderna setahu ku itu emang vaksin mahal dengan tingkat yg lbh tinggi gak mau bayar,"['pemerintah', 'gratisin', 'yang', 'sinovac', 'dan', 'astrazeneca', 'menurut', 'ku', 'sudah', 'bagus', 'kok', 'uang', 'negara', 'ga', 'cukup', 'buat', 'beli', 'semua', 'vaksin', 'yg', 'di', 'jual', 'itu', 'di', 'antara', 'nya', 'sinopharm', 'sama', 'moderna', 'setahu', 'ku', 'itu', 'emang', 'vaksin', 'mahal', 'dengan', 'tingkat', 'yg', 'lbh', 'tinggi', 'gak', 'mau', 'bayar']","['pemerintah', 'gratisin', 'yang', 'sinovac', 'dan', 'astrazeneca', 'menurut', 'aku', 'sudah', 'bagus', 'kok', 'uang', 'negara', 'tidak', 'cukup', 'buat', 'beli', 'semua', 'vaksin', 'yang', 'di', 'jual', 'itu', 'di', 'antara', 'nya', 'sinopharm', 'sama', 'moderna', 'setahu', 'aku', 'itu', 'memang', 'vaksin', 'mahal', 'dengan', 'tingkat', 'yang', 'lebih', 'tinggi', 'tidak', 'mau', 'bayar']","['pemerintah', 'gratisin', 'sinovac', 'astrazeneca', 'bagus', 'uang', 'negara', 'beli', 'vaksin', 'jual', 'sinopharm', 'moderna', 'setahu', 'vaksin', 'mahal', 'tingkat', 'bayar']","['perintah', 'gratisin', 'sinovac', 'astrazeneca', 'bagus', 'uang', 'negara', 'beli', 'vaksin', 'jual', 'sinopharm', 'moderna', 'tahu', 'vaksin', 'mahal', 'tingkat', 'bayar']",-2,negative,perintah gratisin sinovac astrazeneca bagus uang negara beli vaksin jual sinopharm moderna tahu vaksin mahal tingkat bayar,1
"vaksin sinovac reaksinya nggak separah astrazeneca. Aku AstraZeneca emang sakit 3 hari, tp adikku dapet sinovac bugar malah latihan pencak silat",vaksin sinovac reaksinya nggak separah astrazeneca Aku AstraZeneca emang sakit hari tp adikku dapet sinovac bugar malah latihan pencak silat,vaksin sinovac reaksinya nggak separah astrazeneca aku astrazeneca emang sakit hari tp adikku dapet sinovac bugar malah latihan pencak silat,"['vaksin', 'sinovac', 'reaksinya', 'nggak', 'separah', 'astrazeneca', 'aku', 'astrazeneca', 'emang', 'sakit', 'hari', 'tp', 'adikku', 'dapet', 'sinovac', 'bugar', 'malah', 'latihan', 'pencak', 'silat']","['vaksin', 'sinovac', 'reaksinya', 'tidak', 'separah', 'astrazeneca', 'aku', 'astrazeneca', 'memang', 'sakit', 'hari', 'tetapi', 'adikku', 'dapat', 'sinovac', 'bugar', 'malah', 'latihan', 'pencak', 'silat']","['vaksin', 'sinovac', 'reaksinya', 'separah', 'astrazeneca', 'astrazeneca', 'sakit', 'adikku', 'sinovac', 'bugar', 'latihan', 'pencak', 'silat']","['vaksin', 'sinovac', 'reaksi', 'parah', 'astrazeneca', 'astrazeneca', 'sakit', 'adik', 'sinovac', 'bugar', 'latih', 'pencak', 'silat']",-8,negative,vaksin sinovac reaksi parah astrazeneca astrazeneca sakit adik sinovac bugar latih pencak silat,1
"Katanya sih Vaksin Pfizer yg paling baik, kedudukannya diatas AstraZeneca, Moderna, Sinopham, dan Sinovac adalah yg terfuck.....sekali lagi Sinovac adalah yg terfuck....duh keceplosan",Katanya sih Vaksin Pfizer yg paling baik kedudukannya diatas AstraZeneca Moderna Sinopham dan Sinovac adalah yg terfuck sekali lagi Sinovac adalah yg terfuck duh keceplosan,katanya sih vaksin pfizer yg paling baik kedudukannya diatas astrazeneca moderna sinopham dan sinovac adalah yg terfuck sekali lagi sinovac adalah yg terfuck duh keceplosan,"['katanya', 'sih', 'vaksin', 'pfizer', 'yg', 'paling', 'baik', 'kedudukannya', 'diatas', 'astrazeneca', 'moderna', 'sinopham', 'dan', 'sinovac', 'adalah', 'yg', 'terfuck', 'sekali', 'lagi', 'sinovac', 'adalah', 'yg', 'terfuck', 'duh', 'keceplosan']","['katanya', 'sih', 'vaksin', 'pfizer', 'yang', 'paling', 'baik', 'kedudukannya', 'di atas', 'astrazeneca', 'moderna', 'sinopham', 'dan', 'sinovac', 'adalah', 'yang', 'terfuck', 'sekali', 'lagi', 'sinovac', 'adalah', 'yang', 'terfuck', 'aduh', 'keceplosan']","['vaksin', 'pfizer', 'kedudukannya', 'di atas', 'astrazeneca', 'moderna', 'sinopham', 'sinovac', 'terfuck', 'sinovac', 'terfuck', 'aduh', 'keceplosan']","['vaksin', 'pfizer', 'duduk', 'di atas', 'astrazeneca', 'moderna', 'sinopham', 'sinovac', 'terfuck', 'sinovac', 'terfuck', 'aduh', 'ceplos']",-2,negative,vaksin pfizer duduk di atas astrazeneca moderna sinopham sinovac terfuck sinovac terfuck aduh ceplos,1
"semua vaksin yang diproduksi untuk menangani covid-19 saat ini (sinovac, astrazeneca, Pfizer) itu semua masih dalam tahap experiment, semua uji coba.
contohnya saja polio/campak, sudah pada disuntik vaksinnya tp ada sj yg terkena polio/lumpuh kayuh dan campak. ",semua vaksin yang diproduksi untuk menangani covid saat ini sinovac astrazeneca Pfizer itu semua masih dalam tahap experiment semua uji coba contohnya saja polio campak sudah pada disuntik vaksinnya tp ada sj yg terkena polio lumpuh kayuh dan campak ,semua vaksin yang diproduksi untuk menangani covid saat ini sinovac astrazeneca pfizer itu semua masih dalam tahap experiment semua uji coba contohnya saja polio campak sudah pada disuntik vaksinnya tp ada sj yg terkena polio lumpuh kayuh dan campak ,"['semua', 'vaksin', 'yang', 'diproduksi', 'untuk', 'menangani', 'covid', 'saat', 'ini', 'sinovac', 'astrazeneca', 'pfizer', 'itu', 'semua', 'masih', 'dalam', 'tahap', 'experiment', 'semua', 'uji', 'coba', 'contohnya', 'saja', 'polio', 'campak', 'sudah', 'pada', 'disuntik', 'vaksinnya', 'tp', 'ada', 'sj', 'yg', 'terkena', 'polio', 'lumpuh', 'kayuh', 'dan', 'campak']","['semua', 'vaksin', 'yang', 'diproduksi', 'untuk', 'menangani', 'covid', 'saat', 'ini', 'sinovac', 'astrazeneca', 'pfizer', 'itu', 'semua', 'masih', 'dalam', 'tahap', 'experiment', 'semua', 'uji', 'coba', 'contohnya', 'saja', 'polio', 'campak', 'sudah', 'pada', 'disuntik', 'vaksinnya', 'tetapi', 'ada', 'saja', 'yang', 'terkena', 'polio', 'lumpuh', 'kayuh', 'dan', 'campak']","['vaksin', 'diproduksi', 'menangani', 'covid', 'sinovac', 'astrazeneca', 'pfizer', 'tahap', 'experiment', 'uji', 'coba', 'contohnya', 'polio', 'campak', 'disuntik', 'vaksinnya', 'terkena', 'polio', 'lumpuh', 'kayuh', 'campak']","['vaksin', 'produksi', 'tangan', 'covid', 'sinovac', 'astrazeneca', 'pfizer', 'tahap', 'experiment', 'uji', 'coba', 'contoh', 'polio', 'campak', 'suntik', 'vaksin', 'kena', 'polio', 'lumpuh', 'kayuh', 'campak']",-13,negative,vaksin produksi tangan covid sinovac astrazeneca pfizer tahap experiment uji coba contoh polio campak suntik vaksin kena polio lumpuh kayuh campak,1
"Gue kan make astrazeneca ya Run. Di case gue, efeknya tuh baru muncul 12 jam setelah vaksin. Mual mual, meriang, menggigil, demam sm pusing tuh dari malem  sampe besok sorenya kacau bgt. Malemnya mendingan krn minum obat. Lusanya cuma pegel pegel",Gue kan make astrazeneca ya Run Di case gue efeknya tuh baru muncul jam setelah vaksin Mual mual meriang menggigil demam sm pusing tuh dari malem sampe besok sorenya kacau bgt Malemnya mendingan krn minum obat Lusanya cuma pegel pegel,gue kan make astrazeneca ya run di case gue efeknya tuh baru muncul jam setelah vaksin mual mual meriang menggigil demam sm pusing tuh dari malem sampe besok sorenya kacau bgt malemnya mendingan krn minum obat lusanya cuma pegel pegel,"['gue', 'kan', 'make', 'astrazeneca', 'ya', 'run', 'di', 'case', 'gue', 'efeknya', 'tuh', 'baru', 'muncul', 'jam', 'setelah', 'vaksin', 'mual', 'mual', 'meriang', 'menggigil', 'demam', 'sm', 'pusing', 'tuh', 'dari', 'malem', 'sampe', 'besok', 'sorenya', 'kacau', 'bgt', 'malemnya', 'mendingan', 'krn', 'minum', 'obat', 'lusanya', 'cuma', 'pegel', 'pegel']","['gue', 'kan', 'memakai', 'astrazeneca', 'ya', 'run', 'di', 'case', 'gue', 'efeknya', 'itu', 'baru', 'muncul', 'jam', 'setelah', 'vaksin', 'mual', 'mual', 'meriang', 'menggigil', 'demam', 'sama', 'pusing', 'itu', 'dari', 'malam', 'sampai', 'besok', 'sorenya', 'kacau', 'banget', 'malemnya', 'lebih baik', 'karena', 'minum', 'obat', 'lusanya', 'cuma', 'pegal', 'pegal']","['gue', 'memakai', 'astrazeneca', 'run', 'case', 'gue', 'efeknya', 'muncul', 'jam', 'vaksin', 'mual', 'mual', 'meriang', 'menggigil', 'demam', 'pusing', 'malam', 'besok', 'sorenya', 'kacau', 'banget', 'malemnya', 'lebih baik', 'minum', 'obat', 'lusanya', 'pegal', 'pegal']","['gue', 'pakai', 'astrazeneca', 'run', 'case', 'gue', 'efek', 'muncul', 'jam', 'vaksin', 'mual', 'mual', 'meriang', 'gigil', 'demam', 'pusing', 'malam', 'besok', 'sore', 'kacau', 'banget', 'malemnya', 'lebih baik', 'minum', 'obat', 'lusa', 'pegal', 'pegal']",-31,negative,gue pakai astrazeneca run case gue efek muncul jam vaksin mual mual meriang gigil demam pusing malam besok sore kacau banget malemnya lebih baik minum obat lusa pegal pegal,1
